-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.035,  0.148
-183.800, 80.197, 0.034,  0.181
-183.800, 80.196, 0.039,  0.214
-183.800, 80.193, 0.115,  0.247
-183.799, 80.186, 0.229,  0.280
-183.799, 80.174, 0.371,  0.313
-183.797, 80.157, 0.502,  0.346
-183.796, 80.134, 0.684,  0.379
-183.794, 80.108, 0.796,  0.412
-183.792, 80.076, 0.974,  0.445
-183.790, 80.036, 1.237,  0.478
-183.787, 79.987, 1.467,  0.511
-183.784, 79.932, 1.677,  0.544
-183.780, 79.871, 1.855,  0.577
-183.776, 79.805, 1.973,  0.610
-183.772, 79.739, 2.006,  0.643
-183.768, 79.674, 1.945,  0.676
-183.764, 79.614, 1.810,  0.709
-183.761, 79.560, 1.638,  0.742
-183.758, 79.517, 1.264,  0.775
-183.756, 79.488, 0.897,  0.808
-183.755, 79.472, 0.483,  0.841
-183.755, 79.464, 0.343,  0.874
-183.753, 79.446, 0.565,  0.907
-183.752, 79.424, 0.713,  0.940
-183.749, 79.393, 0.928,  0.973
-183.747, 79.354, 1.159,  1.006
-183.743, 79.309, 1.365,  1.039
-183.739, 79.256, 1.556,  1.072
-183.735, 79.198, 1.737,  1.105
-183.731, 79.135, 1.892,  1.138
-183.726, 79.069, 1.990,  1.171
-183.721, 79.002, 2.005,  1.204
-183.717, 78.937, 1.933,  1.237
-183.713, 78.877, 1.791,  1.270
-183.709, 78.824, 1.591,  1.303
-183.706, 78.786, 1.137,  1.336
-183.704, 78.762, 0.733,  1.369
-183.703, 78.746, 0.558,  1.402
-183.701, 78.721, 0.842,  1.435
-183.698, 78.686, 1.058,  1.468
-183.695, 78.644, 1.247,  1.501
-183.691, 78.597, 1.423,  1.534
-183.687, 78.543, 1.593,  1.567
-183.682, 78.485, 1.759,  1.600
-183.677, 78.421, 1.903,  1.633
-183.672, 78.355, 1.992,  1.666
-183.667, 78.288, 2.002,  1.699
-183.662, 78.223, 1.926,  1.732
